source,date,rating,text
yelp,2025-09-23,5,"The world's largest Starbucks Reserve Roastery is very impressive! It is 5 levels of Starbucks themed experience. L1 was the Starbucks Reserve Coffee Bar to go and all the Starbucks goods and merch. L2 - Starbucks Reserve Cafe where you can order specialty reserve coffee as well as food and desserts. L3 - Experimental Coffee Bar. Here you can drink speciality coffee flights and try the gelatos. L4 - Arriviamo Cocktail Bar. Coffee Espresso Martini Flights and other alcoholic drinks. L5 - Rooftop Terrace. We had the espresso martini flight and all the drinks were delicious. I bought the whiskey barrel coffee which is only available at this Chicago location."
yelp,2025-10-09,5,"My husband and I started off my birthday at the Starbucks Reserve Roastery. We went around 8 a.m.--there was a line, but it wasn't too bad. While my husband stood in line, I took advantage of the time and went upstairs to the bar area, where I ordered an Espresso Martini Pumpkin Spice Latte. By the time I came back down, he was almost ready to order. The food was just okay; I wasn't too impressed. However, the drinks were absolutely delicious--not just the espresso martini, but the Tiramisu Latte as well."
yelp,2025-11-27,5,"I had one goal while driving up to see family for Thanksgiving and that was to stop at the Starbucks Reserve in Chicago. I did just that! I went straight to the 4th floor and got the holiday espresso martini flight, which came with an eggnog martini, peppermint mocha martini and their classic espresso martini. The peppermint mocha one was probably my favorite. The flight was such a fun little treat. I also got the salami pizza for a snack. Before I left, I had to get the Chicago Reserve Starbucks cup and 2025 Christmas ornament. I left a happy person!"
yelp,2025-12-11,4,"This starbucks was so beautiful to visit! The bar upstairs is soo beautiful. we got the holiday espresso martini flight and the drinks were delicious, I only didn't like the eggnog one. The service could've been a little better, we sat down at the bar expecting someone to greet us and got up after 5 min realizing we're supposed to order at the front and then sit. I wish that someone would've told us."
yelp,2025-08-17,4,"My friend and I almost skipped this Reserve after seeing the snake of a line, but curiosity and caffeine cravings won. With around 20-40 people ahead, we waited for about 15-20 minutes. Atmosphere: A massive coffee wonderland - think Costco, but for coffee nerds. Four floors in total - merch on the ground floor, food in the middle, a bar up top, and a bean-roasting contraption. Food: I chose a matcha butterfly swirl cake. My friend's sandwich fared better. Drinks: The free sample of Bourbon whiskey coffee was bold and interesting. I ordered the iced ube coconut latte. My friend's sakura float though? Absolutely delicious - 10/10 would steal sips again. Price: Higher than your neighborhood Starbucks, but that's the tradeoff for the novelty."
yelp,2025-08-18,4,"Every Starbucks fan loves Starbucks Reserve Roastery, and I am no different. I try to sample any new drinks that they come up with, and this time I had the Iced Ube Coconut Latte and I really loved it. There is usually a looong line for the second floor cafe and so I picked up the latte from the ground floor before heading for the food on the second floor. Since there were limited food option, I picked the savoury cornetto with prosciutto and cheese. It was alright - nothing extraordinary."
yelp,2025-09-14,4,"Just checked out this location after visiting the Reserve Roastery in New York. The staff are helpful and very informative and offer directions to various floors and products when you walk in. They also know a lot about coffee, roasting, the perfect grind for your needs, etc. They have fresh samples to try - I was able to sample a mini iced pumpkin spice coffee and a hot Chicago blend. Interestingly, there are escalators leading up to the second floor but stairs to get back down (or an elevator) on the opposite side of the floor."
yelp,2025-07-20,5,"Luckily we snagged a table for a party that didn't show up, but highly recommend making a reservation ahead of time. We ordered all 3 seasonal cocktails and the matcha butterfly swirl cake. Chef kiss to the lavender matcha margarita and the ube espresso martini. Those two tied for possibly one of the best cocktails I've ever had. The butterfly tea spritz was okay. Also ordered the ube coconut latte, but they had ran out of coconut milk so it was just an ube latte. The blueberry lavender cake donut wasn't too bad either. There's not much to their rooftop - fairly small."
yelp,2025-09-10,3,"Starbucks Reserve Roastery in Chicago has some snazzy offerings, some of which are unique and some that fall flat. Located on the Magnificent Mile, this location can get insanely busy. There are four stories of inside offerings and a fifth story of a teeny rooftop patio. The first story offers specialty coffees for purchase, as well as lots of Chicago Reserve-specific merchandise. The second and third floors offer a variety of coffees, exclusive Reserve drinks, and desserts as well as food. Fourth floor is mainly for cocktails and experiences. Chocolate hazelnut cornetto: Essentially a croissant with some piped in chocolate hazelnut spread. Chocolate brownie tart: Pretty decadent. Affogato: Hard to go wrong with ice cream and coffee. Pumpkin spice latte with real pumpkin puree: better than the traditional PSL syrup. Tiramisu latte: I didn't think this particularly reminded me of tiramisu, but it was tasty. Dark chocolate mocha: Tasted like a traditional mocha."
yelp,2025-08-27,5,"I have never been a Starbucks fan however my past two positive and enjoyable experiences at the Reserve Roastery might have converted me. For my first visit, our barista cousin was visiting from Hong Kong and we booked a Coffee Roasting and Tasting Experience for $75 per person on a Wednesday. For my second visit, I brought my parents, two young daughters, and the Mister for coffee and lunch on a Friday. We arrived before 10:30 am and there was a line out the door. We were in line for approximately 20 minutes and we received our food and drinks order within 10 minutes. The six of us had: Spirit-free whiskey cold brew with vanilla syrup, Toffeenut bianco latte, Crispy hashbrown egg cup, Fig walnut ricotta toast, Prosciutto and parmigiano-reggiano on herb cornetto, Salame milano on focaccia, Salame piccante, Pistachio and rose twice-baked cornetto, Chocolate cornetto, Plain cornetto, Chocolate ganache brownie."
